,AAPL_daily_return,ADBE_daily_return,ADP_daily_return,AEP_daily_return,AMAT_daily_return,AMGN_daily_return,ANSS_daily_return,ATVI_daily_return,AZN_daily_return,BKNG_daily_return,CDNS_daily_return,CHTR_daily_return,COST_daily_return,CRWD_daily_return,CSGP_daily_return,CTAS_daily_return,DDOG_daily_return,DXCM_daily_return,EBAY_daily_return,EXC_daily_return,FAST_daily_return,FTNT_daily_return,GILD_daily_return,GOOGL_daily_return,IDXX_daily_return,INTC_daily_return,ISRG_daily_return,KDP_daily_return,KLAC_daily_return,LRCX_daily_return,MAR_daily_return,MDLZ_daily_return,META_daily_return,MRNA_daily_return,MSFT_daily_return,NFLX_daily_return,NXPI_daily_return,ORLY_daily_return,PAYX_daily_return,PDD_daily_return,PYPL_daily_return,REGN_daily_return,ROST_daily_return,SGEN_daily_return,SNPS_daily_return,TMUS_daily_return,TXN_daily_return,VRTX_daily_return,WBD_daily_return,XEL_daily_return,ZS_daily_return
AAPL_daily_return,1.0,0.605465243724903,0.38490850325371995,0.1317492313609359,0.4671715610534144,0.25738925159994913,0.5456792440281183,0.22418487334261972,0.08186854162428937,0.17949134600816538,0.5303226470686964,0.1463541532069042,0.46335298663342683,0.29314881891019096,0.3659523593706844,0.4505747777599873,0.379898878274903,0.34675168605028045,0.2395386521145609,0.23297856552379412,0.35044157663706066,0.48025327665024997,0.11942293194203252,0.5515562646289686,0.5000566932399186,0.37173261823097487,0.507786041986371,0.2610206098450443,0.49246201992168465,0.5112545939759957,0.19165888876900797,0.23069506753156513,0.5049335639704149,0.10911404204871225,0.6827629443367107,0.40621811058837715,0.4951872331564731,0.15768855122764067,0.3339970746838795,0.2936885339187865,0.5054216201582584,0.34765207538216214,0.22985612036339573,0.13764195084494263,0.5884964885426327,0.24064035675099027,0.5086710027402512,0.14072812291378298,-0.025690264615654636,0.1604632718867119,0.40098523999100233
ADBE_daily_return,0.605465243724903,1.0,0.3882548427956849,0.054004717630937726,0.45287146819451696,0.13088045424568154,0.7029977578398141,0.2389955967002843,0.040749549578607276,0.2039898184523121,0.727044703359535,0.16812817273680009,0.5262189722472479,0.497528714406763,0.39823248226297325,0.4861158932789968,0.5313009064481211,0.49903376891348344,0.3043275182249895,0.25899000794789095,0.3602342049504229,0.6403053003486997,0.01766129072528399,0.5481297243492673,0.6359957882326801,0.3209444946615049,0.5324018427322091,0.1738366296761214,0.4864250408042627,0.4496028257609526,0.14516080401631626,0.17964813223601164,0.5140974375806773,0.14679321067745268,0.7277763870543965,0.5105280047540186,0.4536725866383745,0.19857108822001254,0.383728309713612,0.3042209993489499,0.5418897542739955,0.3419456404478194,0.19611602482430193,0.27592148444401815,0.7475824692343586,0.20628876939152985,0.5270574114126011,0.16217622324486056,-0.2190046801314804,0.1178493478369255,0.5872173942403816
ADP_daily_return,0.38490850325371995,0.3882548427956849,1.0,0.34841108163659223,0.30770211066203884,0.4061577692122312,0.3592296082070073,0.12561762886080785,0.11846455011405671,0.32914892353903363,0.3669188180790239,0.17886095637143865,0.40509824914257764,0.11158935933794892,0.39379999032617025,0.512133172084713,0.21835418765123915,0.20683175713002697,0.2327105759887996,0.3862561275403506,0.5562885114376646,0.47710521759400715,0.18109661881620173,0.30614037085108897,0.3612512968101186,0.21773286106021547,0.36131154520621706,0.37010808587774363,0.32192905962708657,0.2928372383224357,0.3707183651417757,0.39489263100706856,0.23635409552480424,-0.045730562400215544,0.49301286626582363,0.1707761562060262,0.34690568686967904,0.372753789983604,0.7861357414720677,0.04143319182363846,0.19016805863988678,0.2364428017170198,0.4198126361569843,0.05089341677450628,0.37294732304203376,0.33201572524506257,0.4467377507334634,0.17760218933741556,-0.06269344729003308,0.33322685745021186,0.17577335045329842
AEP_daily_return,0.1317492313609359,0.054004717630937726,0.34841108163659223,1.0,-0.055610014406880695,0.3271859424302723,0.054356021593281297,0.12730591279046655,0.1685372888380743,0.11410291910348012,0.06416287714733224,0.25789135925249423,0.21707049195958852,-0.1407731124508341,0.20133461405386976,0.26750827607081884,-0.022193190852340627,-0.049982133640823274,0.057048373977394005,0.640391961464271,0.2314891091580115,0.056218368140954184,0.32504057965996574,0.10996118984444897,0.13951966250098463,0.05519828651146998,0.09089523509649174,0.41625676356135727,-0.04143523889355368,-0.022651984237524587,0.027755582631795842,0.5064680121072027,0.17761896096745117,-0.05577455593872449,0.1412579969935586,0.08007134191373763,-0.002091561857387189,0.26085162691485214,0.3426226560194577,-0.12332678228964324,-0.038487638328380216,0.18901635444071901,0.17552672663602512,0.024122889962559048,0.0824467824198554,0.30229995144792526,0.05222202162083419,0.0917534584249637,0.05462577220621322,0.7944058798680161,-0.08437089247011811
AMAT_daily_return,0.4671715610534144,0.45287146819451696,0.30770211066203884,-0.055610014406880695,1.0,0.19649185423237384,0.5991194700284075,0.26451346188442026,0.07671951200409312,0.3768707294859818,0.6032077455365045,0.14693201182191604,0.29453105945180597,0.3369532768742887,0.23564115075459244,0.38330458930989275,0.3459730576644099,0.34450879384896466,0.2676092483285539,0.15484122575652448,0.3642353262324819,0.47963385952991006,0.06299711806490788,0.45709757112090016,0.4073485351832095,0.5415886345540152,0.4350808905161191,0.0970924902830044,0.89493256522879,0.9185318801283757,0.30082786109704107,0.12387163232299488,0.39741232692809975,0.13449494275151183,0.5135865778201346,0.2363560286776196,0.7570815850808076,0.1716286925024249,0.32696003772994947,0.349865477378576,0.49616210560783325,0.21156912874324982,0.2687359603775031,0.13827473142101004,0.6360709410228179,0.21516656927056416,0.7802433947423929,0.19006118505020483,-0.06871043958387267,-0.06171260114096454,0.3637516301279414
AMGN_daily_return,0.25738925159994913,0.13088045424568154,0.4061577692122312,0.3271859424302723,0.19649185423237384,1.0,0.18210425736240962,0.11354263566312134,0.36067344924335815,0.1679045877477123,0.13665503286018466,0.2531773104495693,0.18562680424832098,-0.016400372945485596,0.30958401474499236,0.26166309189049963,0.08421367130112702,0.05276979947887962,0.20070119371267675,0.33446948846271646,0.3032508196236288,0.1651431887715713,0.4869148443485071,0.14437542902791145,0.19615183565950264,0.19933751732430965,0.23283082354496962,0.34215394671202043,0.19798659904857321,0.2051209609493194,0.13498839161920445,0.3411002502473009,0.18551685758825248,0.004154862730176101,0.2651703405888434,0.12201018519417596,0.19395658003302146,0.23903531277906243,0.34385457704251676,0.020048422470036423,0.10463656788879468,0.3860939552349814,0.1989925165294598,0.1664463684016214,0.18430717174963474,0.3020546378955837,0.28956304718840176,0.3759864589856289,0.024374169357157832,0.32638578010880037,-0.046540580370460966
ANSS_daily_return,0.5456792440281183,0.7029977578398141,0.3592296082070073,0.054356021593281297,0.5991194700284075,0.18210425736240962,1.0,0.3345930476647804,0.1289258081282168,0.3981079007480241,0.7635097033540652,0.25947489924583733,0.42456660430332127,0.472992210007835,0.44945870460835785,0.48718870444618073,0.5137591486333545,0.4959106254477187,0.2709412670740876,0.2198395094906872,0.4078449342451963,0.581458554521121,0.0745838202667626,0.5593883178120291,0.6138419448965347,0.4500706742288924,0.5257834646419036,0.18465854527490275,0.6300538848799676,0.5861528866434959,0.2704847638346763,0.21126191649571188,0.4878708473871211,0.10500716168246607,0.6313996847595258,0.4307995356351542,0.5554689706071693,0.2392368879055006,0.42357337258103744,0.301372133357644,0.5822605734517298,0.24459754910969028,0.2895033381375907,0.27572984048500276,0.7909671358212556,0.2534166277697424,0.6586540540039522,0.20135315347119204,-0.1467302034590404,0.08847960624197541,0.5323187981052094
ATVI_daily_return,0.22418487334261972,0.2389955967002843,0.12561762886080785,0.12730591279046655,0.26451346188442026,0.11354263566312134,0.3345930476647804,1.0,0.047468784538451415,0.15536912911683776,0.39618902240783427,0.17759733376116044,0.160716720637987,0.21647433146817882,0.25488466940321175,0.2608744759938424,0.22367788683186932,0.2535347515921752,0.13590164509060818,0.1811805029574293,0.18417185110808304,0.2105077808126202,0.15079516827695907,0.2910380480336865,0.3353204115915716,0.22217755145875095,0.20594950113291216,0.1669349160438832,0.29355263534637877,0.2828352030902894,0.058077576935641716,0.15909963539650127,0.3477983424640228,-0.004815324897851317,0.2737096612909043,0.2989365614459847,0.19806791165374374,0.06492261742480142,0.1963702241073479,0.24030636448276288,0.34146316357986917,0.14254857608878718,0.09705217050528012,0.288599332114333,0.38041251880636767,0.15739925684472617,0.35358139976294944,0.042692247246875384,-0.054388023438431736,0.17097472967918134,0.2153316170327363
AZN_daily_return,0.08186854162428937,0.040749549578607276,0.11846455011405671,0.1685372888380743,0.07671951200409312,0.36067344924335815,0.1289258081282168,0.047468784538451415,1.0,0.1150223697186608,0.09956587443750821,0.1490620622791486,0.10638321140250014,-0.019410895874527483,0.0586523851442511,0.07605272450342895,0.0071688202071997975,0.007432943124185838,0.134386307049746,0.16063730083552827,0.10940533824758931,0.0952142221613551,0.3011817940307117,0.03115106605301817,0.15706802802948336,0.1083390697878248,0.12536294289557312,0.11309348372975903,0.08127787813907734,0.0525541815731041,-0.01156023294792671,0.2332841108897851,0.017102334687552755,-0.0027431915118201074,0.0867510547645412,0.0033031115360158373,0.06634059257303919,0.07591458424729283,0.16620328364040632,-0.08750135306831708,0.08535689631522429,0.22826223841335191,0.05460190020626537,0.10315549558846637,0.10599351002229673,0.15471945201687978,0.0990074109569122,0.1899433444068829,-0.057515140305996956,0.21046921339646643,-0.03660163579851991
BKNG_daily_return,0.17949134600816538,0.2039898184523121,0.32914892353903363,0.11410291910348012,0.3768707294859818,0.1679045877477123,0.3981079007480241,0.15536912911683776,0.1150223697186608,1.0,0.28402211449652404,0.22476972062168155,0.03808367473607234,0.23308604893421722,0.2828154420204375,0.3363855539472925,0.31647327122456653,0.26758149205062365,0.09573232657769379,0.31759479756501463,0.2244615189747332,0.2617303800070337,0.04959182325154055,0.35632439208918737,0.3346565249802135,0.35777049543741457,0.32745336830987354,0.0971738064641097,0.34676921576370867,0.31845084749997166,0.6953256729472178,0.18233996513214212,0.2011887679863009,-0.19131334355576776,0.2688420448844378,0.1467954368909897,0.36901950308410686,0.265131453871519,0.39191979206053873,0.22684226160850784,0.30226975945701495,0.035438898345859296,0.5433397805546863,0.15861202918442868,0.3263383266713353,0.27876941286865176,0.4024685142734452,0.18440629768140748,0.07327440790352312,0.04958513838580118,0.21520656794837728
